425, количество городов (предел 1500);
Gorod;tн1;tн2;tн3;n
Саскылах (р. Саха (Якутия));-53;-35.1;-17.8;314
Среднеколымск (р. Саха (Якутия));-51;-37.3;-18.9;287
Сунтар (р. Саха (Якутия));-51;-33.7;-16.5;260
Сухана (р. Саха (Якутия));-57;-42.5;-20.6;286
Сюльдюкар (р. Саха (Якутия));-53;-37.6;-18;270
Сюрен-Кюель (р. Саха (Якутия));-46;-34.6;-17.4;292
Токо (р. Саха (Якутия));-51;-39.8;-18.4;279
Томмот (р. Саха (Якутия));-51;-35.5;-17.1;262
Томпо (р. Саха (Якутия));-55;-44.3;-22.2;276
Туой-Хая (р. Саха (Якутия));-52;-33.2;-15.8;266
Тяня (р. Саха (Якутия));-50;-33.1;-15.7;262
Усть-Мая (р. Саха (Якутия));-54;-42.2;-20.1;256
Усть-Миль (р. Саха (Якутия));-51;-39.6;-18.9;259
Усть-Мома (р. Саха (Якутия));-58;-44.9;-23.1;277
Чульман (р. Саха (Якутия));-49;-36.7;-17.1;270
Чурапча (р. Саха (Якутия))м;-56;-44.0;-21.8;239
Шелагонцы (р. Саха (Якутия));-57;-41.9;-20.1;285
Эйик (р. Саха (Якутия));-52;-37.7;-18.5;284
Якутск (р. Саха (Якутия));-54;-42.6;-20.6;256
Варандей (Ненецкий АО (Архангельская область));-36;-17.8;-7.3;323
Индига (Ненецкий АО (Архангельская область));-33;-13.9;-5.1;305
Канин Нос (Ненецкий АО (Архангельская область));-23;-8.2;-2;325
Коткино (Ненецкий АО (Архангельская область));-41;-17.3;-7.1;285
Нарьян-Мар (Ненецкий АО (Архангельская область));-37;-16.9;-7.2;290
Ходовариха (Ненецкий АО (Архангельская область));-32;-15.5;-6.2;330
Хоседа-Хард (Ненецкий АО (Архангельская область));-42;-19.6;-8.6;296
Ярославль (Ярославская обл.);-31;-11.9;-4;221
